method,context_mean,context_n,context_p_value,context_cohens_d
original,-0.1321164881830161,400,6.18277947873893e-05,-0.202445747016628
within_word_l2r,-0.16102443691081134,400,1.7299273572104125e-06,-0.24275711391529864
