method,context_mean,context_n,context_p_value,context_cohens_d
original,-0.15250078201293946,400,7.641872868166783e-05,-0.19984991627261142
within_word_l2r,-0.21973222732543946,400,1.1213394661931049e-18,-0.4638419725419834
