method,context_mean,context_n,context_p_value,context_cohens_d
original,-0.18946847494616578,400,4.413603187480027e-09,-0.3000345421690877
within_word_l2r,-0.2518702805382236,400,8.734138100643636e-12,-0.3517395537169308
