method,context_mean,context_n,context_p_value,context_cohens_d
original,-0.20791933304326904,400,2.287340848540425e-08,-0.2851799319859099
within_word_l2r,-0.19228991906048576,400,3.1716560493084354e-06,-0.23632553237444287
