method,context_mean,context_n,context_p_value,context_cohens_d
original,-0.1263885613683351,400,2.0200568509535228e-05,-0.215720487789537
within_word_l2r,-0.1561801618576692,400,1.963940794678664e-06,-0.2414225881779233
