method,context_mean,context_n,context_p_value,context_cohens_d
original,-0.1578868857613793,400,2.1021015030302734e-11,-0.3448052354436814
within_word_l2r,-0.1860143123853959,400,3.444079219181941e-12,-0.35897772179926596
