method,context_mean,context_n,context_p_value,context_cohens_d
original,-0.1250769650407733,400,1.0873719234070756e-05,-0.22278778737067603
within_word_l2r,-0.1261177450264222,400,9.782940717389952e-06,-0.22397558688345923
