method,context_mean,context_n,context_p_value,context_cohens_d
original,-0.2180886035039576,837,8.969999455503033e-33,-0.4304178498680067
within_word_l2r,-0.22887629391614397,837,2.7471892011167702e-46,-0.5256210862591066
